,0,1,2,3,4,5,6,7,8,9
0,6.0,11.0,4.0,9.0,6.0,10.0,16.0,11.0,9.0,9.0
1,5.0,10.0,3.0,8.0,5.0,9.0,15.0,10.0,8.0,8.0
2,4.0,9.0,4.0,7.0,6.0,8.0,14.0,9.0,7.0,7.0
3,3.0,8.0,5.0,6.0,7.0,7.0,13.0,8.0,8.0,6.0
4,2.0,7.0,6.0,5.0,8.0,8.0,12.0,9.0,9.0,7.0
5,3.0,6.0,7.0,4.0,9.0,9.0,11.0,10.0,10.0,8.0
6,4.0,5.0,8.0,3.0,10.0,10.0,10.0,11.0,11.0,9.0
7,5.0,4.0,9.0,2.0,11.0,11.0,9.0,12.0,12.0,10.0
8,6.0,3.0,10.0,1.0,12.0,12.0,8.0,13.0,13.0,11.0
9,5.0,10.0,3.0,10.0,5.0,9.0,15.0,10.0,8.0,8.0
10,4.0,9.0,2.0,9.0,4.0,8.0,14.0,9.0,7.0,7.0
11,3.0,8.0,3.0,8.0,5.0,7.0,13.0,8.0,6.0,6.0
12,2.0,7.0,4.0,7.0,6.0,6.0,12.0,7.0,7.0,5.0
13,1.0,6.0,5.0,6.0,7.0,7.0,11.0,8.0,8.0,6.0
14,2.0,5.0,6.0,5.0,8.0,8.0,10.0,9.0,9.0,7.0
15,3.0,4.0,7.0,4.0,9.0,9.0,9.0,10.0,10.0,8.0
16,4.0,3.0,8.0,3.0,10.0,10.0,8.0,11.0,11.0,9.0
17,5.0,2.0,9.0,2.0,11.0,11.0,7.0,12.0,12.0,10.0
18,6.0,3.0,10.0,1.0,12.0,12.0,6.0,13.0,13.0,11.0
19,4.0,9.0,2.0,11.0,4.0,8.0,14.0,9.0,7.0,7.0
20,3.0,8.0,1.0,10.0,3.0,7.0,13.0,8.0,6.0,6.0
21,2.0,7.0,2.0,9.0,4.0,6.0,12.0,7.0,5.0,5.0
22,1.0,6.0,3.0,8.0,5.0,5.0,11.0,6.0,6.0,4.0
23,1.0,4.0,5.0,6.0,7.0,7.0,9.0,8.0,8.0,6.0
24,2.0,3.0,6.0,5.0,8.0,8.0,8.0,9.0,9.0,7.0
25,3.0,2.0,7.0,4.0,9.0,9.0,7.0,10.0,10.0,8.0
26,4.0,1.0,8.0,3.0,10.0,10.0,6.0,11.0,11.0,9.0
27,5.0,2.0,9.0,2.0,11.0,11.0,5.0,12.0,12.0,10.0
28,5.0,8.0,1.0,12.0,3.0,7.0,13.0,8.0,6.0,6.0
29,3.0,6.0,1.0,10.0,3.0,5.0,11.0,6.0,4.0,4.0
30,2.0,5.0,2.0,9.0,4.0,4.0,10.0,5.0,5.0,3.0
31,1.0,4.0,3.0,8.0,5.0,5.0,9.0,6.0,6.0,4.0
32,2.0,3.0,4.0,7.0,6.0,6.0,8.0,7.0,7.0,5.0
33,3.0,2.0,5.0,6.0,7.0,7.0,7.0,8.0,8.0,6.0
