,0,1,2,3,4,5
0,9.0,3.0,8.0,10.0,11.0,5.0
1,8.0,8.0,5.0,5.0,2.0,6.0
2,11.0,9.0,8.0,2.0,5.0,9.0
3,8.0,2.0,7.0,7.0,8.0,4.0
4,3.0,7.0,4.0,10.0,11.0,3.0
5,4.0,6.0,7.0,13.0,14.0,6.0
6,3.0,7.0,2.0,8.0,9.0,1.0
7,7.0,5.0,6.0,2.0,5.0,5.0
8,9.0,9.0,6.0,6.0,1.0,7.0
9,7.0,3.0,6.0,6.0,7.0,3.0
10,5.0,5.0,4.0,8.0,9.0,1.0
11,9.0,7.0,8.0,2.0,7.0,7.0
12,2.0,8.0,1.0,7.0,8.0,2.0
13,3.0,11.0,2.0,8.0,7.0,5.0
14,5.0,5.0,4.0,10.0,11.0,3.0
15,9.0,7.0,6.0,4.0,1.0,7.0
16,11.0,9.0,8.0,4.0,1.0,9.0
17,9.0,1.0,8.0,6.0,7.0,5.0
18,7.0,7.0,4.0,4.0,3.0,5.0
19,7.0,3.0,6.0,10.0,11.0,3.0
20,4.0,14.0,5.0,11.0,6.0,8.0
21,9.0,1.0,8.0,8.0,9.0,5.0
22,11.0,5.0,10.0,4.0,9.0,7.0
23,2.0,8.0,5.0,11.0,12.0,4.0
24,7.0,5.0,6.0,12.0,13.0,5.0
25,7.0,5.0,4.0,2.0,3.0,5.0
