Order_ID,Agent_Age,Agent_Rating,Store_Latitude,Store_Longitude,Drop_Latitude,Drop_Longitude,Order_Date,Order_Time,Pickup_Time,Weather,Traffic,Vehicle,Area,Delivery_Time,Category
ialx566343618,37,4.9,22.745049,75.892471,22.765049,75.912471,2022-03-19,11:30:00,11:45:00.0,Sunny,High ,motorcycle ,Urban ,120,Clothing
akqg208421122,34,4.5,12.913041,77.683237,13.043041,77.813237,2022-03-25,19:45:00,19:50:00.0,Stormy,Jam ,scooter ,Metropolitian ,165,Electronics
njpu434582536,23,4.4,12.914264,77.6784,12.924264,77.6884,2022-03-19,08:30:00,08:45:00.0,Sandstorms,Low ,motorcycle ,Urban ,130,Sports
rjto796129700,38,4.7,11.003669,76.976494,11.053669,77.026494,2022-04-05,18:00:00,18:10:00.0,Sunny,Medium ,motorcycle ,Metropolitian ,105,Cosmetics
zguw716275638,32,4.6,12.972793,80.249982,13.012793,80.289982,2022-03-26,13:30:00,13:45:00.0,Cloudy,High ,scooter ,Metropolitian ,150,Toys
fxuu788413734,22,4.8,17.431668,78.408321,17.461668,78.438321,2022-03-11,21:20:00,21:30:00.0,Cloudy,Jam ,motorcycle ,Urban ,130,Toys
njmo150975311,33,4.7,23.369746,85.33982,23.479746,85.44982,2022-03-04,19:15:00,19:30:00.0,Fog,Jam ,scooter ,Metropolitian ,200,Toys
jvjc772545076,35,4.6,12.352058,76.60665,12.482058,76.73665,2022-03-14,17:25:00,17:30:00.0,Cloudy,Medium ,motorcycle ,Metropolitian ,160,Snacks
uaeb808891380,22,4.8,17.433809,78.386744,17.563809,78.516744,2022-03-20,20:55:00,21:05:00.0,Stormy,Jam ,motorcycle ,Metropolitian ,170,Electronics
bgvc052754213,36,4.2,30.327968,78.046106,30.397968,78.116106,2022-02-12,21:55:00,22:10:00.0,Fog,Jam ,motorcycle ,Metropolitian ,230,Toys
vmau710398846,21,4.7,10.003064,76.307589,10.043064,76.347589,2022-02-13,14:55:00,15:05:00.0,Stormy,High ,motorcycle ,Metropolitian ,115,Cosmetics
lcwn330553507,23,4.7,18.56245,73.916619,18.65245,74.006619,2022-03-04,17:30:00,17:40:00.0,Sandstorms,Medium ,scooter ,Metropolitian ,105,Shoes
wcjs752046999,34,4.3,30.899584,75.809346,30.919584,75.829346,2022-02-13,09:20:00,09:30:00.0,Sandstorms,Low ,motorcycle ,Metropolitian ,100,Apparel
blhl288691670,24,4.7,26.463504,80.372929,26.593504,80.502929,2022-02-14,19:50:00,20:05:00.0,Fog,Jam ,scooter ,Metropolitian ,205,Jewelry
zyvo118176215,29,4.5,19.176269,72.836721,19.266269,72.926721,2022-04-02,20:25:00,20:35:00.0,Sandstorms,Jam ,van,Metropolitian ,100,Outdoors
uhfs888375680,35,4.0,12.311072,76.654878,12.351072,76.694878,2022-03-01,14:55:00,15:10:00.0,Windy,High ,scooter ,Metropolitian ,33,Grocery
vmfv999642595,33,4.2,18.592718,73.773572,18.702718,73.883572,2022-03-16,20:30:00,20:40:00.0,Sandstorms,Jam ,motorcycle ,Metropolitian ,200,Cosmetics
qfgc848777135,34,4.9,17.426228,78.407495,17.496228,78.477495,2022-03-20,20:40:00,20:50:00.0,Cloudy,Jam ,motorcycle ,Metropolitian ,205,Snacks
vwmc439983136,21,4.7,22.552672,88.352885,22.582672,88.382885,2022-02-15,21:15:00,21:30:00.0,Windy,Jam ,motorcycle ,Urban ,75,Jewelry
ntzy027061451,25,4.1,18.563934,73.915367,18.643935,73.995367,2022-03-16,20:20:00,20:25:00.0,Sandstorms,Jam ,motorcycle ,Metropolitian ,180,Toys
pbjm971961647,31,4.7,23.357804,85.325146,23.487804,85.455146,2022-03-10,22:30:00,22:45:00.0,Sandstorms,Low ,van,Metropolitian ,130,Books
kjic578711491,37,5.0,11.003669,76.976494,11.013669,76.986494,2022-03-11,08:15:00,08:30:00.0,Sandstorms,Low ,motorcycle ,Metropolitian ,100,Clothing
rkzt648036688,33,4.3,12.986047,80.218114,13.116047,80.348114,2022-03-27,19:30:00,19:45:00.0,Windy,Jam ,scooter ,Metropolitian ,195,Snacks
segh259958026,25,4.0,19.221315,72.862381,19.261315,72.902381,2022-03-26,12:25:00,12:30:00.0,Cloudy,High ,motorcycle ,Metropolitian ,170,Jewelry
owvs520891091,29,4.5,13.005801,80.250744,13.115801,80.360744,2022-03-27,18:35:00,18:50:00.0,Sunny,Medium ,van,Metropolitian ,75,Outdoors
edrh271340988,27,5.0,26.849596,75.800512,26.879596,75.830512,2022-04-05,20:35:00,20:40:00.0,Stormy,Jam ,motorcycle ,Urban ,90,Cosmetics
qvfd540651807,35,4.3,21.160522,72.771477,21.250522,72.861477,2022-03-12,23:20:00,23:30:00.0,Cloudy,Low ,scooter ,Metropolitian ,190,Electronics
gzfn634029300,32,4.0,12.934179,77.615797,13.024179,77.705797,2022-03-16,21:20:00,21:35:00.0,Windy,Jam ,motorcycle ,Metropolitian ,235,Cosmetics
xjps180812498,23,4.8,18.51421,73.838429,18.62421,73.948429,2022-04-02,23:35:00,23:45:00.0,Windy,Low ,van,Urban ,60,Jewelry
ahpg083217029,31,4.8,11.022477,76.995667,11.052477,77.025667,2022-04-01,22:35:00,22:50:00.0,Sandstorms,Low ,motorcycle ,Metropolitian ,130,Jewelry
itii428784576,36,4.1,21.160437,72.774209,21.210437,72.824209,2022-03-05,22:35:00,22:40:00.0,Stormy,Low ,motorcycle ,Urban ,110,Cosmetics
asis944862845,26,4.3,15.51315,73.78346,15.56315,73.83346,2022-02-11,23:25:00,23:35:00.0,Sandstorms,Low ,motorcycle ,Urban ,105,Jewelry
xzkg140273315,38,4.9,15.561295,73.749478,15.601295,73.789478,2022-02-11,13:35:00,13:40:00.0,Cloudy,High ,scooter ,Urban ,125,Shoes
agoo012263585,32,4.6,18.563934,73.915367,18.693935,74.045367,2022-04-02,22:35:00,22:45:00.0,Cloudy,Low ,scooter ,Metropolitian ,150,Sports
ezif478391605,33,4.9,18.55144,73.804855,18.62144,73.874855,2022-03-08,18:55:00,19:10:00.0,Sunny,Medium ,motorcycle ,Metropolitian ,110,Jewelry
tixw400453550,20,4.7,18.593481,73.785901,18.633481,73.825901,2022-04-03,14:15:00,14:25:00.0,Windy,High ,scooter ,Urban ,50,Toys
mrfx777445506,20,4.8,21.173343,72.792731,21.183343,72.802731,2022-03-30,11:00:00,11:10:00.0,Sandstorms,Low ,scooter ,Metropolitian ,95,Kitchen
czjt755903822,35,5.0,17.451976,78.385883,17.471976,78.405883,2022-04-01,09:45:00,09:55:00.0,Sunny,Low ,scooter ,Urban ,55,Clothing
zqtj827550147,26,4.9,12.972532,77.608179,12.992532,77.628179,2022-03-28,08:40:00,08:55:00.0,Stormy,Low ,scooter ,Metropolitian ,55,Kitchen
luka250567007,22,4.8,12.972532,77.608179,13.042532,77.678179,2022-03-18,23:00:00,23:10:00.0,Fog,Low ,motorcycle ,Metropolitian ,140,Books
zkat983341391,35,4.3,13.064181,80.236442,13.134181,80.306442,2022-03-14,17:25:00,17:30:00.0,Cloudy,Medium ,motorcycle ,Metropolitian ,33,Grocery
ydhu273019158,37,4.7,21.149569,72.772697,21.239569,72.862697,2022-04-04,19:45:00,19:50:00.0,Sandstorms,Jam ,motorcycle ,Metropolitian ,260,Clothing
rpuq263118672,28,4.6,19.091458,72.827808,19.201458,72.937808,2022-03-08,19:10:00,19:25:00.0,Stormy,Jam ,scooter ,Metropolitian ,110,Cosmetics
nvck471535045,37,4.9,22.539129,88.365507,22.559129,88.385507,2022-02-13,10:55:00,11:00:00.0,Fog,Low ,scooter ,Urban ,16,Grocery
rxgx102974679,23,4.9,19.221315,72.862381,19.281315,72.922381,2022-03-24,21:40:00,21:45:00.0,Sunny,Jam ,van,Metropolitian ,55,Apparel
ikas794013321,27,4.9,12.970324,77.645748,13.030324,77.705748,2022-03-19,19:00:00,19:15:00.0,Windy,Medium ,scooter ,Metropolitian ,125,Snacks
dsyl658069912,37,4.8,13.064181,80.236442,13.104181,80.276442,2022-03-09,16:45:00,16:55:00.0,Cloudy,Medium ,motorcycle ,Urban ,130,Jewelry
wzoc344425774,33,5.0,21.175975,72.795503,21.185975,72.805503,2022-03-19,11:30:00,11:40:00.0,Sunny,High ,scooter ,Metropolitian ,90,Shoes
dwnh519656346,31,4.9,23.369746,85.33982,23.409746,85.37982,2022-04-03,15:10:00,15:15:00.0,Fog,Medium ,motorcycle ,Metropolitian ,80,Books
yakw330215137,31,4.8,12.914264,77.6784,13.024264,77.7884,2022-03-25,22:45:00,22:55:00.0,Stormy,Low ,scooter ,Metropolitian ,115,Cosmetics
fris321432357,28,4.8,11.003681,76.975525,11.083681,77.055525,2022-04-04,20:45:00,20:55:00.0,Sandstorms,Jam ,motorcycle ,Metropolitian ,180,Kitchen
mxuw713526914,31,4.7,21.173343,72.792731,21.233343,72.852731,2022-03-26,22:50:00,23:05:00.0,Cloudy,Low ,motorcycle ,Metropolitian ,80,Clothing
carl449634661,24,4.7,10.96185,76.971082,11.05185,77.061082,2022-03-10,17:55:00,18:00:00.0,Sunny,Medium ,motorcycle ,Urban ,95,Snacks
msnw786727644,39,4.6,27.165108,78.015053,27.255108,78.105053,2022-02-14,22:45:00,23:00:00.0,Sunny,Low ,motorcycle ,Metropolitian ,135,Jewelry
vizd072469706,32,4.5,26.88842,75.800689,26.89842,75.810689,2022-03-26,09:25:00,09:40:00.0,Windy,Low ,scooter ,Other,100,Shoes
rxxx129114996,25,4.8,26.913987,75.752891,26.993987,75.832891,2022-03-29,22:25:00,22:35:00.0,Sandstorms,Low ,scooter ,Urban ,90,Cosmetics
bull762076829,33,4.9,12.3085,76.665808,12.3385,76.695808,2022-03-30,21:55:00,22:00:00.0,Sunny,Jam ,scooter ,Metropolitian ,110,Books
fpkv432118410,30,4.4,21.183434,72.814492,21.253434,72.884492,2022-03-12,22:40:00,22:55:00.0,Cloudy,Low ,scooter ,Metropolitian ,170,Shoes
udpq945815554,33,5.0,19.254567,72.848923,19.364567,72.958923,2022-03-31,23:50:00,23:55:00.0,Sandstorms,Low ,motorcycle ,Urban ,120,Jewelry
qeqp930384577,36,4.9,18.55144,73.804855,18.59144,73.844855,2022-03-17,15:25:00,15:40:00.0,Fog,Medium ,scooter ,Metropolitian ,85,Pet Supplies
cwvq091479872,21,4.8,25.449659,81.839744,25.469659,81.859744,2022-02-15,10:20:00,10:30:00.0,Sandstorms,Low ,van,Metropolitian ,70,Shoes
ivtf765857546,39,4.9,30.372202,78.077151,30.422202,78.127151,2022-02-15,20:55:00,21:00:00.0,Stormy,Jam ,motorcycle ,Metropolitian ,150,Skincare
gkrb550339468,39,4.6,12.972793,80.249982,13.062793,80.339982,2022-03-16,20:10:00,20:15:00.0,Cloudy,Jam ,scooter ,Metropolitian ,180,Home
tsec016509855,22,4.7,21.157735,72.768778,21.197735,72.808778,2022-03-17,12:10:00,12:15:00.0,Sunny,High ,scooter ,Urban ,90,Sports
xczs106918282,32,4.6,21.186438,72.794115,21.226438,72.834115,2022-03-15,15:30:00,15:45:00.0,Fog,Medium ,scooter ,Metropolitian ,85,Outdoors
wycd588946822,26,4.7,17.431477,78.40035,17.491477,78.46035,2022-03-05,23:50:00,00:05:00.0,Fog,Low ,motorcycle ,Metropolitian ,50,Shoes
wnbv620439671,35,4.1,13.064181,80.236442,13.154181,80.326442,2022-03-12,20:25:00,20:40:00.0,Sandstorms,Jam ,motorcycle ,Metropolitian ,185,Pet Supplies
jvco758418006,39,4.6,12.933298,77.614293,13.023298,77.704293,2022-03-29,20:50:00,21:00:00.0,Fog,Jam ,scooter ,Metropolitian ,220,Electronics
zkks967394571,34,4.7,22.311358,73.164798,22.351358,73.204798,2022-03-19,12:35:00,12:45:00.0,Windy,High ,van,Metropolitian ,140,Snacks
oiyh656906407,27,4.7,12.934365,77.616155,13.044365,77.726155,2022-03-10,21:00:00,21:15:00.0,Cloudy,Jam ,scooter ,Metropolitian ,210,Apparel
qhxw976953297,25,4.4,13.086438,80.220672,13.196438,80.330672,2022-03-27,18:15:00,18:20:00.0,Cloudy,Medium ,scooter ,Metropolitian ,195,Jewelry
jzam829230168,30,5.0,26.913483,75.803139,26.933483,75.823139,2022-03-24,11:45:00,11:50:00.0,Stormy,High ,motorcycle ,Metropolitian ,155,Kitchen
xnod694467359,24,4.6,17.411028,78.329645,17.471028,78.389645,2022-03-09,20:45:00,20:55:00.0,Stormy,Jam ,motorcycle ,Metropolitian ,65,Home
hcno407153953,39,4.8,18.516216,73.842527,18.566216,73.892527,2022-03-03,21:55:00,22:10:00.0,Stormy,Jam ,motorcycle ,Metropolitian ,140,Home
gyjc869072111,25,4.8,15.5696,73.742294,15.6096,73.782294,2022-02-15,12:45:00,12:50:00.0,Windy,High ,scooter ,Urban ,95,Snacks
wkqq813752515,37,4.6,19.876428,75.364792,19.956428,75.444792,2022-02-18,23:30:00,23:45:00.0,Fog,Low ,motorcycle ,Urban ,210,Kitchen
vdfj488526028,24,5.0,12.939496,77.625999,12.949496,77.635999,2022-03-01,10:50:00,10:55:00.0,Fog,Low ,motorcycle ,Metropolitian ,115,Electronics
pngq326709686,25,4.2,17.433809,78.386744,17.543809,78.496744,2022-03-23,21:25:00,21:40:00.0,Stormy,Jam ,motorcycle ,Metropolitian ,195,Cosmetics
caja224507886,32,4.6,23.374878,85.335739,23.384878,85.345739,2022-04-01,10:10:00,10:20:00.0,Stormy,Low ,motorcycle ,Metropolitian ,125,Outdoors
hnme204254454,34,4.7,27.163303,78.057044,27.233303,78.127044,2022-02-16,23:00:00,23:05:00.0,Sandstorms,Low ,scooter ,Metropolitian ,75,Clothing
uehx759760979,38,4.9,22.74806,75.8934,22.76806,75.9134,2022-03-11,08:40:00,08:55:00.0,Cloudy,Low ,scooter ,Urban ,75,Books
sdod930462581,36,4.8,26.891191,75.802083,26.981191,75.892083,2022-03-14,17:50:00,17:55:00.0,Sunny,Medium ,van,Metropolitian ,75,Home
visy471360404,25,5.0,21.160437,72.774209,21.270437,72.884209,2022-03-18,20:25:00,20:40:00.0,Stormy,Jam ,motorcycle ,Metropolitian ,75,Electronics
wddq796276216,29,5.0,12.316967,76.603067,12.366967,76.653067,2022-04-01,22:20:00,22:25:00.0,Sunny,Low ,motorcycle ,Metropolitian ,90,Outdoors
pqya338067587,36,4.7,18.927584,72.832585,19.017584,72.922585,2022-04-04,23:40:00,23:50:00.0,Sandstorms,Low ,van,Metropolitian ,145,Clothing
last796029882,33,4.7,11.022298,76.998349,11.072298,77.048349,2022-03-11,23:25:00,23:30:00.0,Fog,Low ,motorcycle ,Metropolitian ,100,Snacks
mzyt873581742,36,4.4,12.325461,76.632278,12.365461,76.672278,2022-03-13,12:40:00,12:55:00.0,Cloudy,High ,scooter ,Metropolitian ,195,Skincare
kbhb286226770,21,4.8,18.530963,73.828972,18.640963,73.938972,2022-03-04,23:30:00,23:45:00.0,Windy,Low ,motorcycle ,Metropolitian ,95,Sports
okvp821614347,25,4.8,17.458998,78.500366,17.488998,78.530366,2022-03-26,23:55:00,00:10:00.0,Cloudy,Low ,scooter ,Urban ,19,Grocery
oska955853002,23,4.8,19.1813,72.836191,19.3113,72.966191,2022-03-16,22:50:00,23:00:00.0,Windy,Low ,motorcycle ,Metropolitian ,85,Electronics
rgwl479077727,25,4.6,11.022477,76.995667,11.032477,77.005667,2022-03-01,10:25:00,10:40:00.0,Stormy,Low ,motorcycle ,Urban ,75,Books
tmzv371880726,24,4.3,22.727021,75.884167,22.747021,75.904167,2022-03-15,08:45:00,09:00:00.0,Sandstorms,Low ,motorcycle ,Urban ,95,Apparel
ofxt601212694,27,4.6,12.979166,77.640709,13.069166,77.730709,2022-03-04,21:25:00,21:40:00.0,Sandstorms,Jam ,motorcycle ,Metropolitian ,145,Apparel
lbui872023073,23,4.8,18.994237,72.825553,19.104237,72.935553,2022-03-18,22:35:00,22:40:00.0,Cloudy,Low ,scooter ,Urban ,110,Jewelry
ixfk439251990,21,4.3,12.284747,76.625861,12.414747,76.755861,2022-03-23,20:10:00,20:20:00.0,Fog,Jam ,scooter ,Metropolitian ,210,Books
njfz936670348,27,4.7,21.175975,72.795503,21.195975,72.815503,2022-03-15,10:55:00,11:10:00.0,Sandstorms,Low ,scooter ,Urban ,60,Sports
drir663128253,32,4.2,11.000762,76.981876,11.130762,77.111876,2022-03-08,20:35:00,20:45:00.0,Cloudy,Jam ,motorcycle ,Metropolitian ,190,Skincare
drdr957134932,25,4.6,21.173343,72.792731,21.283343,72.902731,2022-03-10,23:20:00,23:35:00.0,Sunny,Low ,motorcycle ,Metropolitian ,115,Outdoors
qrzj427928057,39,4.7,26.479108,80.315042,26.499108,80.335042,2022-02-11,10:35:00,10:50:00.0,Cloudy,Low ,scooter ,Metropolitian ,75,Books
hkit681446136,27,4.6,21.175104,72.804342,21.255104,72.884342,2022-03-14,23:45:00,23:50:00.0,Sunny,Low ,motorcycle ,Metropolitian ,120,Shoes
imnm972342448,39,3.8,19.176269,72.836721,19.286269,72.946721,2022-03-16,19:55:00,20:00:00.0,Windy,Jam ,motorcycle ,Metropolitian ,185,Books
wnne890905509,31,4.8,12.975377,77.696664,13.025377,77.746664,2022-03-01,22:15:00,22:25:00.0,Sandstorms,Low ,scooter ,Metropolitian ,120,Sports
